id,kungfu,name
1,太虚剑意,PVE奇穴推荐
2,云裳心经,PVE奇穴推荐
3,铁牢律,PVE奇穴推荐
4,明尊琉璃体,PVE奇穴推荐
5,洗髓经,PVE奇穴推荐
6,笑尘诀,PVE奇穴推荐
7,毒经,PVE奇穴推荐
8,离经易道,PVE奇穴推荐
9,铁骨衣,PVE奇穴推荐
10,莫问,PVE奇穴推荐
11,傲血战意,PVE奇穴推荐
12,紫霞功,PVE奇穴推荐
13,相知,PVE奇穴推荐
14,问水诀,PVE奇穴推荐
15,山居剑意,PVE奇穴推荐
16,花间游,PVE奇穴推荐
17,冰心诀,PVE奇穴推荐
18,惊羽诀,PVE奇穴推荐
19,天罗诡道,PVE奇穴推荐
20,分山劲,PVE奇穴推荐
21,焚影圣诀,PVE奇穴推荐
22,易筋经,PVE奇穴推荐
23,北傲诀,PVE奇穴推荐
24,补天诀,PVE奇穴推荐
25,凌海诀,PVE奇穴推荐
26,隐龙诀,PVE奇穴推荐
27,太玄经,PVE奇穴推荐
28,洗髓经,攻防/战场等团战奇穴
29,易筋经,热度最高
30,易筋经,胜率最高
31,易筋经,攻防/战场等团战奇穴
32,易筋经,绝境战场奇穴
33,紫霞功,热度最高
34,紫霞功,胜率最高
35,紫霞功,攻防/战场等团战奇穴
36,紫霞功,绝境战场奇穴
37,太虚剑意,热度最高
38,太虚剑意,胜率最高
39,太虚剑意,攻防/战场等团战奇穴
40,太虚剑意,绝境战场奇穴
41,花间游,热度最高
42,花间游,胜率最高
43,花间游,攻防/战场等团战奇穴
44,花间游,绝境战场奇穴
45,傲血战意,热度最高
46,傲血战意,胜率最高
47,傲血战意,攻防/战场等团战奇穴
48,傲血战意,绝境战场奇穴
49,离经易道,热度最高
50,离经易道,胜率最高
51,离经易道,攻防/战场等团战奇穴
52,铁牢律,攻防/战场等团战奇穴
53,云裳心经,热度最高
54,云裳心经,胜率最高
55,云裳心经,攻防/战场等团战奇穴
56,冰心诀,热度最高
57,冰心诀,胜率最高
58,冰心诀,攻防/战场等团战奇穴
59,冰心诀,绝境战场奇穴
60,问水诀,热度最高
61,问水诀,胜率最高
62,问水诀,攻防/战场等团战奇穴
63,问水诀,绝境战场奇穴
64,山居剑意,热度最高
65,山居剑意,胜率最高
66,山居剑意,攻防/战场等团战奇穴
67,山居剑意,绝境战场奇穴
68,毒经,热度最高
69,毒经,胜率最高
70,毒经,攻防/战场等团战奇穴
71,毒经,绝境战场奇穴
72,补天诀,热度最高
73,补天诀,胜率最高
74,补天诀,攻防/战场等团战奇穴
75,惊羽诀,热度最高
76,惊羽诀,胜率最高
77,惊羽诀,攻防/战场等团战奇穴
78,惊羽诀,绝境战场奇穴
79,天罗诡道,热度最高
80,天罗诡道,胜率最高
81,天罗诡道,攻防/战场等团战奇穴
82,天罗诡道,绝境战场奇穴
83,焚影圣诀,热度最高
84,焚影圣诀,胜率最高
85,焚影圣诀,攻防/战场等团战奇穴
86,焚影圣诀,绝境战场奇穴
87,明尊琉璃体,攻防/战场等团战奇穴
88,笑尘诀,热度最高
89,笑尘诀,胜率最高
90,笑尘诀,攻防/战场等团战奇穴
91,笑尘诀,绝境战场奇穴
92,铁骨衣,单刷奇穴
93,铁骨衣,攻防/战场等团战奇穴
94,分山劲,热度最高
95,分山劲,胜率最高
96,分山劲,攻防/战场等团战奇穴
97,分山劲,绝境战场奇穴
98,莫问,热度最高
99,莫问,胜率最高
100,莫问,攻防/战场等团战奇穴
101,莫问,绝境战场奇穴
102,相知,热度最高
103,相知,胜率最高
104,相知,攻防/战场等团战奇穴
105,北傲诀,热度最高
106,北傲诀,胜率最高
107,北傲诀,攻防/战场等团战奇穴
108,北傲诀,绝境战场奇穴
109,凌海诀,热度最高
110,凌海诀,胜率最高
111,凌海诀,攻防/战场等团战奇穴
112,凌海诀,绝境战场奇穴
113,隐龙诀,热度最高
114,隐龙诀,胜率最高
115,隐龙诀,攻防/战场等团战奇穴
116,隐龙诀,绝境战场奇穴
117,太玄经,热度最高
118,太玄经,胜率最高
